TIME, 0.000, 1.001
GPS5, 42.28519190, -71.35958530, 13.90100000, 0.91700000, 0.86000000, 
GPS5, 42.28519230, -71.35958540, 13.80700000, 0.93900000, 0.92000000, 
GPS5, 42.28519260, -71.35958500, 13.67100000, 1.00200000, 0.94000000, 
GPS5, 42.28519320, -71.35958460, 13.56300000, 1.13200000, 1.00000000, 
GPS5, 42.28519410, -71.35958410, 13.38200000, 1.20400000, 1.13000000, 
GPS5, 42.28519520, -71.35958350, 13.17300000, 1.28000000, 1.20000000, 
GPS5, 42.28519620, -71.35958320, 13.09800000, 1.34500000, 1.28000000, 
GPS5, 42.28519710, -71.35958260, 13.10800000, 1.44200000, 1.34000000, 
GPS5, 42.28519770, -71.35958200, 13.07500000, 1.55500000, 1.44000000, 
GPS5, 42.28519830, -71.35958100, 13.03500000, 1.64100000, 1.56000000, 
GPS5, 42.28519900, -71.35958040, 13.06400000, 1.71600000, 1.64000000, 
GPS5, 42.28519950, -71.35958000, 13.07600000, 1.82000000, 1.72000000, 
GPS5, 42.28520040, -71.35957960, 13.08700000, 1.93900000, 1.82000000, 
GPS5, 42.28520120, -71.35957920, 13.09600000, 2.03800000, 1.94000000, 
GPS5, 42.28520210, -71.35957890, 13.09100000, 2.13200000, 2.04000000, 
GPS5, 42.28520310, -71.35957860, 13.10000000, 2.21600000, 2.13000000, 
GPS5, 42.28520410, -71.35957820, 13.11600000, 2.29500000, 2.22000000, 
GPS5, 42.28520520, -71.35957760, 13.11500000, 2.40200000, 2.30000000, 
TIME, 0.000, 1.001
GYRO, -0.09587217, 0.07829561, -0.02130493, 
GYRO, -0.00133156, 0.18322237, 0.12676431, 
GYRO, -0.04766977, 0.15206391, 0.05246338, 
GYRO, -0.03941411, 0.01517976, 0.00186418, 
GYRO, -0.06284953, -0.02423435, 0.02609854, 
GYRO, -0.03728362, 0.03861518, 0.05912117, 
GYRO, 0.03914780, 0.19547270, 0.03275632, 
GYRO, -0.09214381, 0.19414115, -0.11451398, 
GYRO, -0.07882823, 0.08948069, -0.15525965, 
GYRO, -0.10972037, 0.01704394, -0.01810919, 
GYRO, -0.05432756, 0.03382157, 0.10945406, 
GYRO, 0.02316911, 0.07962716, 0.19467377, 
GYRO, 0.03994674, 0.08282290, 0.08974700, 
GYRO, 0.01970706, 0.01784288, -0.02077230, 
GYRO, -0.04207723, 0.03355526, -0.09161119, 
GYRO, 0.00213049, 0.05486019, 0.02743009, 
GYRO, 0.04154461, 0.11291611, 0.11344874, 
GYRO, -0.00612517, 0.01384820, 0.02849534, 
GYRO, 0.00985353, -0.03328895, -0.04820240, 
GYRO, -0.06444740, 0.05645806, -0.04607190, 
GYRO, -0.02876165, 0.15099867, 0.02663116, 
GYRO, -0.01358189, 0.21597870, 0.03462051, 
GYRO, -0.07376831, 0.11637816, -0.01411451, 
GYRO, -0.09560586, 0.00133156, -0.05672437, 
GYRO, -0.03462051, -0.08282290, 0.09853529, 
GYRO, -0.06045273, -0.00159787, 0.16324900, 
GYRO, 0.10146471, 0.20798935, 0.10545939, 
GYRO, 0.02636485, 0.21118509, -0.01011984, 
